Time,Main_Ped_Sens, Pot,Pot Modified,Ped Normalised,Pot Normalised,,,We proved that both 
474,811,364,566,0.817875211,0.777777778,,,
475,814,363,567,0.822934233,0.785185185,,,
476,817,362,568,0.827993255,0.792592593,,,
477,822,361,569,0.836424958,0.8,,,
478,825,360,570,0.84148398,0.807407407,,,
479,827,360,570,0.844856661,0.807407407,,,
480,831,359,571,0.851602024,0.814814815,,,
481,834,358,572,0.856661046,0.822222222,,,
482,838,357,573,0.863406408,0.82962963,,,
483,841,357,573,0.86846543,0.82962963,,,
484,844,355,575,0.873524452,0.844444444,,,
485,848,355,575,0.880269815,0.844444444,,,
486,851,354,576,0.885328836,0.851851852,,,
487,854,354,576,0.890387858,0.851851852,,,
488,857,353,577,0.89544688,0.859259259,,,
489,860,352,578,0.900505902,0.866666667,,,
490,859,351,579,0.898819562,0.874074074,,,
491,863,351,579,0.905564924,0.874074074,,,
492,862,350,580,0.903878583,0.881481481,,,
493,864,349,581,0.907251265,0.888888889,,,
494,859,348,582,0.898819562,0.896296296,,,
495,859,348,582,0.898819562,0.896296296,,,
496,868,347,583,0.913996627,0.903703704,,,
497,869,346,584,0.915682968,0.911111111,,,
498,872,346,584,0.92074199,0.911111111,,,
499,874,345,585,0.924114671,0.918518519,,,
500,875,345,585,0.925801012,0.918518519,,,
501,875,345,585,0.925801012,0.918518519,,,
502,875,345,585,0.925801012,0.918518519,,,
503,875,344,586,0.925801012,0.925925926,,,
504,875,344,586,0.925801012,0.925925926,,,
505,876,344,586,0.927487352,0.925925926,,,
506,875,344,586,0.925801012,0.925925926,,,
507,876,344,586,0.927487352,0.925925926,,,
508,876,343,587,0.927487352,0.933333333,,,
509,877,343,587,0.929173693,0.933333333,,,
510,877,343,587,0.929173693,0.933333333,,,
511,877,342,588,0.929173693,0.940740741,,,
512,877,342,588,0.929173693,0.940740741,,,
513,878,342,588,0.930860034,0.940740741,,,
514,879,342,588,0.932546374,0.940740741,,,
515,880,342,588,0.934232715,0.940740741,,,
516,881,341,589,0.935919056,0.948148148,,,
517,882,341,589,0.937605396,0.948148148,,,
518,884,341,589,0.940978078,0.948148148,,,
519,885,341,589,0.942664418,0.948148148,,,
520,886,341,589,0.944350759,0.948148148,,,
521,887,340,590,0.946037099,0.955555556,,,
522,889,339,591,0.949409781,0.962962963,,,
523,893,338,592,0.956155143,0.97037037,,,
524,895,337,593,0.959527825,0.977777778,,,
525,898,337,593,0.964586847,0.977777778,,,
526,902,335,595,0.971332209,0.992592593,,,
527,906,335,595,0.978077572,0.992592593,,,
528,909,335,595,0.983136594,0.992592593,,,
529,913,335,595,0.989881956,0.992592593,,,
530,915,335,595,0.993254637,0.992592593,,,
531,918,335,595,0.998313659,0.992592593,,,
532,918,335,595,0.998313659,0.992592593,,,
533,919,335,595,1,0.992592593,,,
534,919,335,595,1,0.992592593,,,
535,918,334,596,0.998313659,1,,,
536,919,335,595,1,0.992592593,,,
537,918,335,595,0.998313659,0.992592593,,,
538,918,335,595,0.998313659,0.992592593,,,
539,918,335,595,0.998313659,0.992592593,,,
540,918,335,595,0.998313659,0.992592593,,,
541,919,335,595,1,0.992592593,,,
542,918,335,595,0.998313659,0.992592593,,,
543,918,335,595,0.998313659,0.992592593,,,
544,918,335,595,0.998313659,0.992592593,,,
545,919,335,595,1,0.992592593,,,
546,918,335,595,0.998313659,0.992592593,,,
547,918,335,595,0.998313659,0.992592593,,,
548,918,335,595,0.998313659,0.992592593,,,
549,918,335,595,0.998313659,0.992592593,,,
550,918,335,595,0.998313659,0.992592593,,,
551,918,335,595,0.998313659,0.992592593,,,
552,918,335,595,0.998313659,0.992592593,,,
553,918,334,596,0.998313659,1,,,
554,917,335,595,0.996627319,0.992592593,,,
555,918,335,595,0.998313659,0.992592593,,,
556,918,335,595,0.998313659,0.992592593,,,
557,917,335,595,0.996627319,0.992592593,,,
558,918,335,595,0.998313659,0.992592593,,,
559,918,335,595,0.998313659,0.992592593,,,
560,917,335,595,0.996627319,0.992592593,,,
561,918,335,595,0.998313659,0.992592593,,,
562,917,335,595,0.996627319,0.992592593,,,
563,918,335,595,0.998313659,0.992592593,,,
564,917,335,595,0.996627319,0.992592593,,,
565,918,335,595,0.998313659,0.992592593,,,
566,917,335,595,0.996627319,0.992592593,,,
567,917,335,595,0.996627319,0.992592593,,,
568,917,335,595,0.996627319,0.992592593,,,
569,917,335,595,0.996627319,0.992592593,,,
570,918,335,595,0.998313659,0.992592593,,,
571,917,335,595,0.996627319,0.992592593,,,
572,917,335,595,0.996627319,0.992592593,,,
573,917,335,595,0.996627319,0.992592593,,,
574,917,335,595,0.996627319,0.992592593,,,
575,916,335,595,0.994940978,0.992592593,,,
576,916,335,595,0.994940978,0.992592593,,,
577,917,335,595,0.996627319,0.992592593,,,
578,917,335,595,0.996627319,0.992592593,,,
579,916,335,595,0.994940978,0.992592593,,,
580,916,335,595,0.994940978,0.992592593,,,
581,916,335,595,0.994940978,0.992592593,,,
582,916,335,595,0.994940978,0.992592593,,,
583,915,335,595,0.993254637,0.992592593,,,
584,915,335,595,0.993254637,0.992592593,,,
585,915,335,595,0.993254637,0.992592593,,,
586,914,335,595,0.991568297,0.992592593,,,
587,914,335,595,0.991568297,0.992592593,,,
588,913,336,594,0.989881956,0.985185185,,,
589,912,336,594,0.988195616,0.985185185,,,
590,910,336,594,0.984822934,0.985185185,,,
591,909,336,594,0.983136594,0.985185185,,,
592,907,337,593,0.979763912,0.977777778,,,
593,905,338,592,0.976391231,0.97037037,,,
594,903,339,591,0.97301855,0.962962963,,,
595,900,339,591,0.967959528,0.962962963,,,
596,898,339,591,0.964586847,0.962962963,,,
597,896,339,591,0.961214165,0.962962963,,,
598,893,339,591,0.956155143,0.962962963,,,
599,892,339,591,0.954468803,0.962962963,,,
600,892,339,591,0.954468803,0.962962963,,,
601,890,339,591,0.951096121,0.962962963,,,
602,890,339,591,0.951096121,0.962962963,,,
603,889,339,591,0.949409781,0.962962963,,,
604,888,339,591,0.94772344,0.962962963,,,
605,887,339,591,0.946037099,0.962962963,,,
606,887,340,590,0.946037099,0.955555556,,,
